LakID,TAG,SOURCE,TYPE,COUNTRY,LAKE_NAME,AREA_KM2,LON_ORG,LAT_ORG,LisfloodX,LisfloodY
564,ELM,Burek_Lake,LAKE_M_EUR,Finland,Langelmavesi,181.1,24.47,61.57,24.425,61.55833
565,ELM,Burek_Lake,LAKE_M_EUR,Finland,Paijanne,1111.7,25.49,61.71,25.54167,61.325
566,ELM,Burek_Lake,LAKE_M_EUR,Russia,Ladoga,17539.1,31.39,60.84,31.05833,59.95833
569,ELM,Burek_Lake,LAKE_M_EUR,Finland,Vesijarvi,100,25.39,61.09,25.50833,61.15833
568,ELM,Burek_Lake,LAKE_M_EUR,Finland, ,112.1,24.14,61.35,24.09167,61.325
604,ELM,Burek_Lake,LAKE_M_EUR,Ireland, ,53.4,-9.24,54.05,-9.19167,53.975
584,ELM,Burek_Lake,LAKE_M_EUR,United Kingdom, ,36.8,-4.57,58.11,-4.425,58.025
587,ELM,Burek_Lake,LAKE_M_EUR,United Kingdom,Ness,58.1,-4.48,57.28,-4.34167,57.40833
593,ELM,Burek_Lake,LAKE_M_EUR, , ,40,-5.22,56.3,-5.09167,56.39167
594,ELM,Burek_Lake,LAKE_M_EUR,United Kingdom,Lomond,71.7,-4.66,56.16,-4.59167,56.00833
602,ELM,Burek_Lake,LAKE_M_EUR,United Kingdom,Neagh,380.3,-6.42,54.62,-6.475,54.74167
603,ELM,Burek_Lake,LAKE_M_EUR,United Kingdom,Erne,120.3,-7.69,54.42,-7.99167,54.475
605,ELM,Burek_Lake,LAKE_M_EUR, , ,36.6,-7.51,54.21,-7.59167,54.24167
606,ELM,Burek_Lake,LAKE_M_EUR, , ,35.3,-8.06,54.11,-8.075,54.05833
575,ELM,Burek_Lake,LAKE_M_EUR,Norway,Randsfjorden,127.8,10.3,60.53,10.40833,60.25833
577,ELM,Burek_Lake,LAKE_M_EUR,Norway,Tyrifjorden,133.1,10.17,60.02,10.04167,60.00833
726,ELM,GLWD2,LAKE_M_EUR,Norway,Oyeren,84.7,11.15,59.85,11.24167,59.65833
572,ELM,Burek_Lake,LAKE_M_EUR,Sweden,Siljan,286.3,14.8,60.86,14.95833,60.74167
573,ELM,Burek_Lake,LAKE_M_EUR,Sweden,Hedesundefj,226.3,17.14,60.33,17.19167,60.39167
578,ELM,Burek_Lake,LAKE_M_EUR,Sweden, ,108.9,17.65,59.64,17.64167,59.64167
579,ELM,Burek_Lake,LAKE_M_EUR,Sweden,Granfjarden,1090.3,16.19,59.44,18.34167,60.29167
580,ELM,Burek_Lake,LAKE_M_EUR,Sweden,Hjalmaren,475.6,15.86,59.23,16.275,59.275
581,ELM,Burek_Lake,LAKE_M_EUR,Sweden,Stora Le,148.1,11.84,59.21,11.825,59.30833
583,ELM,Burek_Lake,LAKE_M_EUR,Sweden,Skagern,130,14.25,58.99,14.225,58.975
585,ELM,Burek_Lake,LAKE_M_EUR,Sweden,Vattern,1847.2,14.57,58.33,14.95833,58.525
586,ELM,Burek_Lake,LAKE_M_EUR,Sweden,Vanern,5550.5,13.22,58.88,12.675,58.55833
588,ELM,Burek_Lake,LAKE_M_EUR,Sweden,Sommen,130.2,15.19,58.01,15.04167,58.04167
595,ELM,Burek_Lake,LAKE_M_EUR,Sweden,Bolmen,181.5,13.67,56.92,13.65833,56.825
597,ELM,Burek_Lake,LAKE_M_EUR,Sweden,Asnen,178.8,14.72,56.7,14.74167,56.59167
574,ELM,Burek_Lake,LAKE_M_EUR,Russia, ,111.4,28.15,59.28,28.175,59.34167
576,ELM,Burek_Lake,LAKE_M_EUR,Russia,Peipus,3552.8,27.59,58.41,27.70833,58.975
582,ELM,Burek_Lake,LAKE_M_EUR,Estonia,Vortis-Jarv,276.1,26.04,58.22,26.125,58.375
589,ELM,Burek_Lake,LAKE_M_EUR,Russia, ,60.9,31.26,56.24,31.225,56.19167
590,ELM,Burek_Lake,LAKE_M_EUR,Latvia, ,83.5,26.88,56.77,26.90833,56.80833
591,ELM,Burek_Lake,LAKE_M_EUR,Latvia, ,53.5,27.43,56.33,27.50833,56.325
592,ELM,Burek_Lake,LAKE_M_EUR, , ,49.4,28.18,56.05,28.20833,56.05833
596,ELM,Burek_Lake,LAKE_M_EUR, , ,33.3,27.04,55.61,27.09167,55.60833
598,ELM,Burek_Lake,LAKE_M_EUR, , ,42.7,26.53,55.62,26.625,55.575
600,ELM,Burek_Lake,LAKE_M_EUR, , ,37.3,29.1,54.67,29.125,54.675
601,ELM,Burek_Lake,LAKE_M_EUR,Belarus, ,74.3,26.77,54.86,26.80833,54.825
599,ELM,Burek_Lake,LAKE_M_EUR,Russia, ,50.3,33.23,54.23,33.30833,54.15833
607,ELM,Burek_Lake,LAKE_M_EUR,Ireland, ,87,-9.35,53.62,-9.325,53.575
609,ELM,Burek_Lake,LAKE_M_EUR,Ireland,Corrib,176.7,-9.17,53.42,-9.075,53.325
613,ELM,Burek_Lake,LAKE_M_EUR,Ireland,Derg,121.1,-8.33,52.93,-8.45833,52.825
608,ELM,Burek_Lake,LAKE_M_EUR, , ,34.1,-8.01,53.86,-7.925,53.825
610,ELM,Burek_Lake,LAKE_M_EUR,Ireland,Ree,107.9,-7.99,53.56,-7.95833,53.45833
619,ELM,Burek_Lake,LAKE_M_EUR, , ,34.3,11.48,53.73,11.49167,53.60833
728,ELM,GranD,LAKE_M_EUR,Netherlands, ,21.4,6.18125,53.410417,6.19167,53.40833
683,ELM,GLOFAS-R,LAKE_M_EUR,Netherlands,Ijsselmeer,1200,5.65,52.65,5.24167,53.04167
729,ELM,GranD,LAKE_M_EUR,Netherlands, ,3.1,4.05625,51.922917,4.075,51.94167
730,ELM,GranD,LAKE_M_EUR,Netherlands, ,81.1,4.060417,51.835417,4.04167,51.825
731,ELM,GranD,LAKE_M_EUR,Netherlands, ,125.3,3.864583,51.760417,3.89167,51.75833
732,ELM,GranD,LAKE_M_EUR,Netherlands, ,327.9,3.710417,51.610417,4.20833,51.49167
733,ELM,GranD,LAKE_M_EUR,Netherlands, ,22.3,3.639583,51.58125,3.74167,51.54167
727,ELM,GranD,LAKE_M_EUR,Netherlands, ,1.6,3.76125,51.335417,3.75833,51.325
615,ELM,Burek_Lake,LAKE_M_EUR, , ,42,19.63,53.7,19.64167,53.70833
617,ELM,Burek_Lake,LAKE_M_EUR, , ,32.6,12.86,53.81,12.89167,53.84167
620,ELM,Burek_Lake,LAKE_M_EUR,Germany,Muritz,110.4,12.68,53.42,12.65833,53.50833
621,ELM,Burek_Lake,LAKE_M_EUR, , ,37.9,12.32,53.46,12.275,53.45833
622,ELM,Burek_Lake,LAKE_M_EUR, , ,35.4,14.9,53.28,14.875,53.275
611,ELM,Burek_Lake,LAKE_M_EUR,Poland, ,102.7,21.69,54.12,21.75833,53.975
612,ELM,Burek_Lake,LAKE_M_EUR,Poland,Sniardwy,122.2,21.75,53.76,21.775,53.74167
614,ELM,Burek_Lake,LAKE_M_EUR,Belarus, ,60.5,28.03,52.89,28.04167,52.825
616,ELM,Burek_Lake,LAKE_M_EUR, , ,44.9,27.57,52.79,27.49167,52.74167
618,ELM,Burek_Lake,LAKE_M_EUR, , ,43.9,27.97,52.4,27.975,52.39167
623,ELM,Burek_Lake,LAKE_M_EUR, , ,31,33.26,47.95,33.275,47.925
707,ELM,GLWD2,LAKE_M_EUR,Russia, ,213.8,40.75,47.15,40.675,47.20833
695,ELM,GLWD2,LAKE_M_EUR,Russia,Manych oudilo,720.9,42.35,46.55,42.35833,46.525
5005,ELS,GLWD2,LAKE_S_EUR,Spain, ,58.2,-3.98,43.02,-3.975,43.00833
625,ELM,Burek_Lake,LAKE_M_EUR, , ,44.9,11.13,48.01,11.125,48.05833
631,ELM,Burek_Lake,LAKE_M_EUR,Germany,Bodensee,516,9.28,47.65,9.19167,47.65833
632,ELM,Burek_Lake,LAKE_M_EUR,Switzerland,Wangen Lachen,59,8.6,47.29,8.55833,47.34167
634,ELM,Burek_Lake,LAKE_M_EUR, , ,35.3,7.16,47.09,7.20833,47.10833
635,ELM,Burek_Lake,LAKE_M_EUR, , ,35.2,8.49,47.13,8.45833,47.175
637,ELM,Burek_Lake,LAKE_M_EUR,Switzerland,Neuchatel,208.6,6.84,46.9,7.00833,46.99167
638,ELM,Burek_Lake,LAKE_M_EUR, , ,42.6,7.69,46.71,7.64167,46.74167
640,ELM,Burek_Lake,LAKE_M_EUR,Switzerland,Geneva,558.2,6.25,46.37,6.15833,46.20833
641,ELM,Burek_Lake,LAKE_M_EUR,Switzerland, ,44.3,8.89,45.98,8.85833,45.95833
642,ELM,Burek_Lake,LAKE_M_EUR, , ,38.1,5.85,45.73,5.80833,45.80833
643,ELM,Burek_Lake,LAKE_M_EUR,Italy,Como,144.2,9.26,46.02,9.375,45.875
645,ELM,Burek_Lake,LAKE_M_EUR,Italy,Maggiore,196.7,8.63,45.96,8.59167,45.725
646,ELM,Burek_Lake,LAKE_M_EUR,Italy,Iseo,57.4,10.07,45.74,9.975,45.675
647,ELM,Burek_Lake,LAKE_M_EUR,Italy,Garda,360.3,10.7,45.67,10.69167,45.45833
624,ELM,Burek_Lake,LAKE_M_EUR,Czech Republic, ,49,14.06,48.71,14.125,48.675
626,ELM,Burek_Lake,LAKE_M_EUR,Germany,Starnberger See,56,11.32,47.91,11.35833,47.99167
628,ELM,Burek_Lake,LAKE_M_EUR, , ,42.8,13.54,47.87,13.59167,47.94167
627,ELM,Burek_Lake,LAKE_M_EUR,Germany,Chiemsee,78.1,12.44,47.88,12.475,47.925
630,ELM,Burek_Lake,LAKE_M_EUR,Austria,Neusiedl,167.7,16.78,47.8,16.79167,47.675
633,ELM,Burek_Lake,LAKE_M_EUR,Hungary,Balaton,578.2,17.83,46.88,18.04167,46.925
644,ELM,Burek_Lake,LAKE_M_EUR, , ,41.1,19.06,45.48,19.05833,45.49167
651,ELM,Burek_Lake,LAKE_M_EUR, , ,33.4,17.03,43.66,17.00833,43.675
629,ELM,Burek_Lake,LAKE_M_EUR,Hungary, ,119,20.66,47.59,20.64167,47.575
648,ELM,Burek_Lake,LAKE_M_EUR,Romania, ,61.8,23.69,43.86,23.625,43.875
649,ELM,Burek_Lake,LAKE_M_EUR, , ,34.3,24.23,43.75,24.225,43.74167
706,ELM,GLWD2,LAKE_M_EUR,Ukraine,Yalpug,225,28.65,45.35,28.725,45.325
639,ELM,Burek_Lake,LAKE_M_EUR,Armenia,Sevan,1249.9,45.29,40.39,45.00833,40.55833
5002,ELS,GLWD2,LAKE_S_EUR,Spain, ,81.4,-5.81,41.72,-5.80833,41.70833
5006,ELS,GLWD2,LAKE_S_EUR,Spain, ,56.9,-6.2,40.33,-6.19167,40.325
665,ELM,Burek_Lake,LAKE_M_EUR,Spain, ,79.2,-7.25,39.66,-7.49167,39.65833
5004,ELS,GLWD2,LAKE_S_EUR,Spain, ,61.2,-5.12,39.24,-5.14167,39.20833
672,ELM,Burek_Lake,LAKE_M_EUR, , ,31.9,-5.88,39,-5.875,38.99167
5003,ELS,GLWD2,LAKE_S_EUR,Spain, ,70.9,-5.28,38.94,-5.275,38.925
5007,ELS,GLWD2,LAKE_S_EUR,Spain, ,50.5,-4.28,37.25,-4.29167,37.24167
657,ELM,Burek_Lake,LAKE_M_EUR,Italy,Bolsena,114,11.93,42.6,11.925,42.54167
660,ELM,Burek_Lake,LAKE_M_EUR,Italy, ,54.6,12.23,42.12,12.275,42.09167
652,ELM,Burek_Lake,LAKE_M_EUR, , ,31.3,23.58,42.47,23.575,42.475
655,ELM,Burek_Lake,LAKE_M_EUR,Bulgaria, ,31,25.5,41.64,25.64167,41.625
658,ELM,Burek_Lake,LAKE_M_EUR,Albania, ,69.9,19.86,42.11,19.85833,42.125
661,ELM,Burek_Lake,LAKE_M_EUR, , ,45.4,23.17,41.19,23.20833,41.15833
662,ELM,Burek_Lake,LAKE_M_EUR,Yugoslavia,Ohrid,347.1,20.73,41.04,20.675,41.15833
663,ELM,Burek_Lake,LAKE_M_EUR,Greece,Vigorritis,74.5,21.79,40.73,21.79167,40.75833
679,ELM,Burek_Lake,LAKE_M_EUR,Greece,Trikhonis,94.6,21.55,38.56,21.45833,38.55833
