ResID,TAG,SOURCE,TYPE,COUNTRY,DAM_NAME,ACTIVE_FRO,LON_ORG,LAT_ORG,LisfloodX,LisfloodY
3947,ERS,GranD,RESERVOIR_S_EUR,Slovakia,Zilina,1998,18.682917,49.257083,18.675,49.25833
3948,ERS,GranD,RESERVOIR_S_EUR,Czech Republic,Brno,1940,16.517083,49.235417,16.525,49.225
3949,ERS,GranD,RESERVOIR_S_EUR,Czech Republic,Dalesice,1979,16.117083,49.12875,16.125,49.125
3950,ERS,GranD,RESERVOIR_S_EUR,Slovakia,Nosice,1957,18.365417,49.127083,18.375,49.125
3951,ERS,GranD,RESERVOIR_S_EUR,Czech Republic,Mohelno,1978,16.179583,49.102083,16.175,49.10833
3952,ERS,GranD,RESERVOIR_S_EUR,Slovakia,Besenova,1978,19.449583,49.099583,19.44167,49.09167
3953,ERS,GranD,RESERVOIR_S_EUR,Slovakia,Liptovska Mara,1976,19.484583,49.099583,19.49167,49.10833
3954,ERS,GranD,RESERVOIR_S_EUR,Slovakia,Starina,1989,22.25875,49.045417,22.25833,49.04167
3955,ERS,GranD,RESERVOIR_S_EUR,Slovakia,Velka Domasa,1966,21.69625,49.00375,21.69167,49.00833
3956,ERS,GranD,RESERVOIR_S_EUR,Czech Republic,Vranov,1939,15.817083,48.907917,15.825,48.90833
3957,ERS,GranD,RESERVOIR_S_EUR,Czech Republic,Nove Mlyny,1989,16.72125,48.862083,16.725,48.85833
3958,ERS,GranD,RESERVOIR_S_EUR,Slovakia,Ruzin 1,1968,21.087917,48.862083,21.09167,48.85833
3959,ERS,GranD,RESERVOIR_S_EUR,Slovakia,Vihorlat,1965,22.04625,48.787083,22.04167,48.79167
3960,ERS,GranD,RESERVOIR_S_EUR,Slovakia,Bukovec 2,1976,21.125417,48.719583,21.125,48.725
3961,ERS,GranD,RESERVOIR_S_EUR,Ukraine,Dniestr,0,27.454583,48.595417,27.45833,48.59167
3962,ERS,GranD,RESERVOIR_S_EUR,Austria,Ottenstein,1956,15.329583,48.592917,15.325,48.59167
3963,ERS,GranD,RESERVOIR_S_EUR,Austria,Dobra,1953,15.39625,48.592917,15.39167,48.59167
3964,ERS,GranD,RESERVOIR_S_EUR,Slovakia,Drahovce,1960,17.825417,48.545417,17.825,48.54167
3965,ERS,GranD,RESERVOIR_S_EUR,Slovakia,Malinec,1994,19.662917,48.520417,19.65833,48.525
3966,ERS,GranD,RESERVOIR_S_EUR,Hungary,Rakacai,1961,20.764583,48.449583,20.775,48.45833
3967,ERS,GranD,RESERVOIR_S_EUR,Slovakia,Ruzina,1973,19.567083,48.437083,19.55833,48.44167
3968,ERS,GranD,RESERVOIR_S_EUR,Slovakia,Kralova,1985,17.825417,48.195417,17.825,48.19167
3969,ERS,GranD,RESERVOIR_S_EUR,Slovakia,Hrusov,1995,17.267083,47.999583,17.24167,48.025
3970,ERS,GranD,RESERVOIR_S_EUR,Romania,Rogojesti,1987,26.14625,47.937083,26.125,47.94167
3971,ERS,GranD,RESERVOIR_S_EUR,Romania,Calinesti-Oas,1974,23.277083,47.899583,23.275,47.90833
3972,ERS,GranD,RESERVOIR_S_EUR,Hungary,Markazi,1968,20.079583,47.812083,20.04167,47.775
3973,ERS,GranD,RESERVOIR_S_EUR,Romania,Catamarasti,1979,26.629583,47.789583,26.625,47.79167
3974,ERS,GranD,RESERVOIR_S_EUR,Romania,Bucecea,1977,26.367083,47.782917,26.35833,47.79167
3975,ERS,GranD,RESERVOIR_S_EUR,Romania,Dragomirna,1976,26.229583,47.699583,26.225,47.70833
3976,ERS,GranD,RESERVOIR_S_EUR,Hungary,Tisza,1978,20.51875,47.499583,20.525,47.50833
3977,ERS,GranD,RESERVOIR_S_EUR,Romania,Parcovaci,1985,26.82125,47.452083,26.825,47.45833
3978,ERS,GranD,RESERVOIR_S_EUR,Romania,Halceni,1986,27.287917,47.41625,27.29167,47.425
3979,ERS,GranD,RESERVOIR_S_EUR,Hungary,Fehervarcsurgoi,1972,18.250417,47.282917,18.25833,47.275
3980,ERS,GranD,RESERVOIR_S_EUR,Moldova,Dubossary,1954,29.12125,47.27875,29.125,47.275
3981,ERS,GranD,RESERVOIR_S_EUR,Romania,Podu Iloaiei,1964,27.250417,47.20625,27.24167,47.20833
3982,ERS,GranD,RESERVOIR_S_EUR,Romania,Varsolt,1979,22.917083,47.189583,22.925,47.19167
3983,ERS,GranD,RESERVOIR_S_EUR,Romania,Colibita,1993,24.877917,47.165417,24.875,47.15833
3984,ERS,GranD,RESERVOIR_S_EUR,Romania,Tileagd,1988,22.207917,47.07875,22.20833,47.075
3985,ERS,GranD,RESERVOIR_S_EUR,Romania,Lugasu,1989,22.30375,47.059583,22.30833,47.05833
3986,ERS,GranD,RESERVOIR_S_EUR,Romania,Izvorul Muntelui,1961,26.104583,46.94125,26.10833,46.94167
3987,ERS,GranD,RESERVOIR_S_EUR,Romania,Tungujei,1987,27.33875,46.94125,27.34167,46.94167
3988,ERS,GranD,RESERVOIR_S_EUR,Romania,Piatra Neamt,1963,26.337917,46.932917,26.34167,46.925
3989,ERS,GranD,RESERVOIR_S_EUR,Romania,Cazanesti,1975,27.487917,46.862083,27.49167,46.85833
3990,ERS,GranD,RESERVOIR_S_EUR,Romania,Dragan,1987,22.712917,46.79125,22.725,46.79167
3991,ERS,GranD,RESERVOIR_S_EUR,Romania,Solesti,1974,27.787917,46.79125,27.79167,46.79167
3992,ERS,GranD,RESERVOIR_S_EUR,Romania,Tarnita,1974,23.29625,46.727083,23.29167,46.725
3993,ERS,GranD,RESERVOIR_S_EUR,Romania,Racova,1965,26.712917,46.695417,26.725,46.69167
3994,ERS,GranD,RESERVOIR_S_EUR,Austria,Feistritzbach,1990,15.037917,46.67875,15.04167,46.675
3995,ERS,GranD,RESERVOIR_S_EUR,Romania,Fantanele,1978,23.05875,46.667083,23.05833,46.675
3996,ERS,GranD,RESERVOIR_S_EUR,Slovenia,Vuzenica,1952,15.150417,46.592917,15.15833,46.59167
3997,ERS,GranD,RESERVOIR_S_EUR,Slovenia,Vuhred,1956,15.27125,46.587917,15.275,46.59167
3998,ERS,GranD,RESERVOIR_S_EUR,Romania,Manjesti,1978,27.840417,46.56625,27.84167,46.575
3999,ERS,GranD,RESERVOIR_S_EUR,Romania,Zeter,1993,25.400417,46.46625,25.40833,46.45833
4000,ERS,GranD,RESERVOIR_S_EUR,Romania,Galbeni,1983,26.952083,46.457917,26.95833,46.45833
4001,ERS,GranD,RESERVOIR_S_EUR,Romania,Racaciuni,1984,27.04625,46.337083,27.04167,46.34167
4002,ERS,GranD,RESERVOIR_S_EUR,Romania,Poiana Uzului,1973,26.389583,46.33625,26.39167,46.34167
4003,ERS,GranD,RESERVOIR_S_EUR,Croatia,Dubrava,1989,16.72125,46.324583,16.725,46.325
4004,ERS,GranD,RESERVOIR_S_EUR,Croatia,Cakovec,1982,16.467083,46.307917,16.475,46.30833
4005,ERS,GranD,RESERVOIR_S_EUR,Romania,Beresti,1985,27.18375,46.187083,27.19167,46.19167
4006,ERS,GranD,RESERVOIR_S_EUR,Romania,Petresti,1983,23.559583,45.904583,23.55833,45.90833
4007,ERS,GranD,RESERVOIR_S_EUR,Romania,Voila,1988,24.860417,45.835417,24.875,45.84167
4008,ERS,GranD,RESERVOIR_S_EUR,Romania,Vistea,1989,24.749583,45.80875,24.75833,45.80833
4009,ERS,GranD,RESERVOIR_S_EUR,Romania,Arpasu,1990,24.595417,45.79375,24.59167,45.79167
4010,ERS,GranD,RESERVOIR_S_EUR,Romania,Scoreiu,1992,24.512917,45.77875,24.50833,45.775
4011,ERS,GranD,RESERVOIR_S_EUR,Romania,Avrig,1996,24.39125,45.745417,24.39167,45.74167
4012,ERS,GranD,RESERVOIR_S_EUR,Romania,Gura Raului,1980,23.925417,45.714583,23.925,45.70833
4013,ERS,GranD,RESERVOIR_S_EUR,Romania,Cincis,1964,22.875417,45.700417,22.85833,45.69167
4014,ERS,GranD,RESERVOIR_S_EUR,Romania,Hateg,1989,22.95875,45.59125,22.95833,45.59167
4015,ERS,GranD,RESERVOIR_S_EUR,Romania,Oasa,1979,23.625417,45.587083,23.625,45.59167
4016,ERS,GranD,RESERVOIR_S_EUR,Romania,Sacele,1975,25.765417,45.582083,25.775,45.575
4017,ERS,GranD,RESERVOIR_S_EUR,Romania,Siriu,1994,26.250417,45.495417,26.25833,45.49167
4018,ERS,GranD,RESERVOIR_S_EUR,Romania,Vidra,1973,23.767083,45.447083,23.75833,45.44167
4019,ERS,GranD,RESERVOIR_S_EUR,Romania,Poiana Marului,0,22.477083,45.42625,22.475,45.425
4020,ERS,GranD,RESERVOIR_S_EUR,Romania,Vidraru,1965,24.629583,45.370417,24.625,45.375
