ResID,GLWD_ID,GRAND_ID,Source,LAKE_NAME,DAM_NAME,LONG_DEG,LAT_DEG,LONG_OUTLE,LAT_OUTLET,VOLUME_Gra,VOL_SRC,COUNTRY,SEC_CNTRY,RIVER,NEAR_CITY,DAM_YEAR,note,X_coord,Y_coord,X_CORRECT,Y_CORRECT,LisfloodX3,LisfloodY3,remap_com
76,3376,NA,GLWD,John Martin Reservoir,,-103.03,38.07,NA,NA,NA,Statistics,United States,,,,0,GloFAS station downstream G0776,-102.95,38.05,-102.95,38.05,-102.975,38.075,remapped
77,3713,NA,GLWD,,Carlos R.U.,-100.26,18.42,NA,NA,NA,ICOLD_LRs,Mexico,,Baisas,Iguala,1986,"cat2, not mr, not fc",-100.25,18.45,-100.25,18.45,-100.275,18.375,correct position
78,1333,NA,GLWD,,East Forebay Dyke GF-16,-97.07,58.11,NA,NA,NA,ICOLD_LRs,Canada,,North River,Churchill,1971,,-97.05,58.25,-97.05,58.25,-97.025,58.275,remapped
79,1687,NA,GLWD,Teaureau,Mattawin (Papide Taureau),-73.8,46.78,NA,NA,NA,LRs,Canada,,Mattawin,St. Michel des-Saints,1930,,-73.65,46.85,-73.65,46.85,-73.675,46.875,remapped
80,3304,NA,GLWD,,,33.65,13.51,NA,NA,NA,Statistics,Sudan,,,,0,,33.65,13.55,33.65,13.44815,33.625,13.525,remapped
81,3680,NA,GLWD,Twin Buttes Reservoir,Twin Buttes,-100.56,31.36,NA,NA,NA,LRs,United States,,Concho,San Angelo,1963,,-100.55,31.35,-100.55,31.35,-100.525,31.375,remapped
82,3653,NA,GLWD,,Yuzhnosurkhansk,67.65,37.87,NA,NA,NA,ICOLD_LRs,Uzbekistan,,Surkhandaria,Termez,1967,"cat2, not mr, not fc",67.65,37.85,67.65,37.85,67.625,37.825,remapped
83,1135,NA,GLWD,Lake Saint Lawrence,Saunders / Moses (Niagara),-75.04,44.94,NA,NA,NA,LRs,United States,Canada,St. Lawrence,Cornwall / Massena,1958,GloFAS station downstream G0596,-74.75,45.05,-74.75,45.05,-74.775,45.025,remapped
84,3248,NA,GLWD,,,-104.31,32.68,NA,NA,NA,Statistics,United States,,,,0,,-104.35,32.65,-104.35,32.65,-104.375,32.575,correct position
85,3251,NA,GLWD,Lake Fork Reservoir,,-95.61,32.86,NA,NA,NA,Statistics,United States,,,,0,,-95.55,32.85,-95.55,32.85,-95.525,32.825,remapped
86,2236,NA,GLWD,,Wanapum,-119.97,46.92,NA,NA,NA,ICOLD_LRs,United States,,Columbia,Beverley,1963,GloFAs station G0533,-119.95,46.65,-119.95,46.65,-119.975,46.875,remapped
87,3176,NA,GLWD,,,30.48,29.23,NA,NA,NA,Statistics,Egypt,,,,0,"remove, endorheic area",30.45,29.25,30.45,29.25,30.425,29.175,remapped
88,3182,NA,GLWD,,,-6.2,40.33,NA,NA,NA,Statistics,Spain,,,,0,"cat2, another big res downstream",-6.15,40.25,-6.15,40.25,-6.125,40.225,remapped
89,769,NA,GLWD,,Waboose,-88.16,50.76,NA,NA,NA,ICOLD_LRs,Canada,,Ogoki,Thunder Bay,1942,,-88.05,50.75,-88.05,50.75,-87.975,50.775,remapped
90,1756,NA,GLWD,Great Sacandaga Lake,Conklingville (Gr. Scandage Lake[res]),-74.1,43.2,NA,NA,NA,ICOLD,United States,,Sacandaga,Lake Luzerne,1928,,-73.95,43.35,-73.95,43.35,-73.925,43.325,remapped
91,3109,NA,GLWD,,,-3.98,43.02,NA,NA,NA,Statistics,Spain,,,,0,GloFAS station below G1583,-4.05,42.95,-4.05,42.95,-4.025,42.975,remapped
92,3137,NA,GLWD,Waconda Lake,,-98.39,39.49,NA,NA,NA,Statistics,United States,,,,0,GloFAS station below,-98.35,39.45,-98.35,39.45,-98.325,39.475,remapped
93,3121,NA,GLWD,,,29.88,-28,NA,NA,NA,Statistics,South Africa,,,,0,"cat2, not main river, not flood control purpose",29.95,-27.95,29.95,-27.95,29.925,-27.975,remapped
94,1116,NA,GLWD,Rossignol,Upper Lake Falls,-65.08,44.2,NA,NA,NA,ICOLD_LRs,Canada,,Mersey,Liverpool,1928,"cat2, cts",-65.05,44.15,-65.05,44.15,-65.025,44.175,remapped
95,1567,NA,GLWD,Choke Canyon Reservoir,Choke Canyon,-98.38,28.49,NA,NA,NA,ICOLD_LRs,United States,,Frio,Three Rivers,1982,,-98.25,28.45,-98.35,28.45,-98.275,28.475,remapped
96,2437,NA,GLWD,,Tiznados,-67.55,9.3,NA,NA,NA,ICOLD,Venezuela,,Tiznados,Ortiz,1982,,-67.55,9.25,-67.55,9.25,-67.625,9.525,remapped
97,3666,NA,GLWD,,Jacarei,-46.43,-22.95,NA,NA,NA,ICOLD_LRs,Brazil,,Jacarei,Braganca Paulista,1981,,-46.45,-22.95,-46.45,-22.95,-46.425,-22.925,remapped
98,3685,NA,GLWD,,Funil,-44.59,-22.57,NA,NA,NA,ICOLD_LRs,Brazil,,Paraiba,Itatiaia,1969,GloFAS station below G1410,-44.55,-22.55,-44.55,-22.55,-44.575,-22.525,remapped
99,2964,NA,GLWD,,,-5.12,39.24,NA,NA,NA,Statistics,Spain,,,,0,,-5.15,39.15,-5.15,39.15,-5.175,39.175,remapped
100,2980,NA,GLWD,Proctor,,-98.51,32.04,NA,NA,NA,Statistics,United States,,,,0,,-98.45,31.95,-98.45,31.95,-98.475,31.975,remapped
101,2981,NA,GLWD,,,-5.4,39.05,NA,NA,NA,Statistics,Spain,,,,0,GloFAS station below G1572,-5.55,38.95,-5.45,39.05,-5.525,38.975,remapped
102,3668,NA,GLWD,,Kattakurgan,66.28,39.8,NA,NA,NA,ICOLD_LRs,Uzbekistan,,Karadarya,Kattakurgan,1968,"cat2, not mr, not fc",66.25,39.85,66.25,39.85,66.275,39.875,remapped
103,3718,NA,GLWD,,New Bullards Bar,-121.13,39.44,NA,NA,NA,ICOLD,United States,,N. Yuba,Marysville,1970,,-121.15,39.45,-121.15,39.45,-121.125,39.425,correct position
104,2956,NA,GLWD,,,35.93,14.75,NA,NA,NA,Statistics,Sudan,,,,0,,35.85,14.85,35.85,14.85,35.925,14.925,remapped
105,2888,NA,GLWD,Saryyazin Skoye,,62.65,36.32,NA,NA,NA,Statistics,Turkmenistan,,,,0,"cat2, not mr, not fc",62.65,36.45,62.65,36.45,62.625,36.425,remapped
106,3122,NA,GLWD,,"Cat Arm Dam ""A""",-56.92,50.08,NA,NA,NA,ICOLD_LRs,Canada,,,Jackson's Arm,1984,"cat2, cts, 2 pixels, Newfunland",-56.85,50.05,-56.95,50.05,-56.925,50.075,correct position
107,3384,NA,GLWD,Blue Mesa Reservoir,Blue Mesa,-107.18,38.47,NA,NA,NA,ICOLD,United States,,Gunnison,Montrose,1966,GloFAS station below G0766,-107.35,38.45,-107.35,38.45,-107.325,38.475,remapped
108,3717,NA,GLWD,,Swift,-122.11,46.06,NA,NA,NA,ICOLD_LRs,United States,,Lewis,Cougar,1958,,-122.15,46.05,-122.15,46.05,-122.175,46.075,remapped
109,2845,NA,GLWD,Logan Martin Lake,,-86.22,33.52,NA,NA,NA,Statistics,United States,,,,0,,-86.25,33.45,-86.25,33.45,-86.325,33.475,remapped
