like1,parFFn,parFFf,paralpha,parQQn,parQQf,park,chain,like_val
1.6694065,0.48426908,0.711839,0.114103146,0.06932021,0.8437966,4.516896,0.0,2.730689772958871
1.6430969,0.22763592,0.79935706,0.8118562,0.33248293,0.8148442,1.2318364,0.0,2.707179809335375
1.6447862,0.43450108,0.94919413,0.039850786,0.31037125,0.91024107,3.976213,0.0,2.6765269115926302
1.6453297,0.48804945,0.7909116,0.53752804,0.087994866,0.55767876,4.044138,0.0,2.7084435566392413
1.6437485,0.27592832,0.8211596,0.88839024,0.48587608,0.5722335,1.4774615,1.0,2.7032456659365014
1.6518978,0.660795,0.7540927,0.8401982,0.07638746,0.62623715,2.9191604,2.0,2.7160227184762826
1.6428678,0.51766604,0.8073429,0.683705,0.14545242,0.6412903,2.7127547,3.0,2.705412520602783
1.6338131,0.23357455,0.88051665,0.5072413,0.1703914,0.7526084,3.1964862,4.0,2.695212124907582
1.6392654,0.4560316,0.8874869,0.4965435,0.47742906,0.83125556,4.476002,5.0,2.6991317967648634
1.637698,0.44564492,0.8561711,0.57855093,0.19733243,0.6771094,2.8691342,6.0,2.6982332656361856
1.6307437,0.30855697,0.92675686,0.45072886,0.21635084,0.72271055,3.2697709,7.0,2.6873713758653204
1.6319982,0.27433762,0.8978621,0.7984278,0.2535527,0.51954895,2.821965,8.0,2.693785360383027
1.6572988,0.31500262,0.74483794,0.60335696,0.16378593,0.7188109,2.246499,9.0,2.7171021563928957
1.6398939,0.40261737,0.80361885,0.89401996,0.05170397,0.80648196,3.222228,10.0,2.7056782539457362
1.6287488,0.23659693,0.8881994,0.43875962,0.47890297,0.82822686,1.9263421,11.0,2.699926154123733
1.6339401,0.40574896,0.89865065,0.46902594,0.3746343,0.8031531,3.4493759,12.0,2.696581831950377
1.6231753,0.45865905,0.8820386,0.3998874,0.33722672,0.89114195,1.4526463,13.0,2.6988285034012187
1.6328484,0.33774188,0.91699004,0.112562545,0.42186138,0.51288754,4.418309,1.0,2.691170660478852
1.6453379,0.38265866,0.8069603,0.26795173,0.21913236,0.64283633,4.277135,2.0,2.7049135651249485
1.627287,0.31602597,0.9650167,0.6992513,0.44025308,0.9768137,2.3137598,3.0,2.651079435495853
1.639159,0.40976804,0.8638797,0.40740234,0.27211732,0.707483,3.8516536,4.0,2.6957939176994374
1.6312596,0.4052339,0.92597145,0.76893866,0.33307308,0.5794034,3.0529888,5.0,2.689905110559602
1.6422899,0.24376819,0.825695,0.6946665,0.32765257,0.7495533,2.9479206,6.0,2.701048144145087
1.6303974,0.22587937,0.8971742,0.6400774,0.43546483,0.81398016,1.4713155,7.0,2.6957221339680593
1.6371235,0.285664,0.8812622,0.5109356,0.24809077,0.6909449,3.4029615,8.0,2.6941385651987924
1.6320207,0.35852063,0.9178864,0.6214897,0.35647434,0.75743544,3.1242626,9.0,2.690102849987699
1.6512153,0.47314382,0.7856285,0.7004446,0.4682293,0.7034526,3.104025,10.0,2.70775401377442
1.6363178,0.31893772,0.8534401,0.68728906,0.3116756,0.79781926,2.1103299,11.0,2.701051538223088
1.6278244,0.29639828,0.9137876,0.18095578,0.04409397,0.7547481,1.065388,12.0,2.6918916176822845
1.6125729,0.27988574,0.9442518,0.12016758,0.41811523,0.9388031,1.4755455,13.0,2.673186817764781
1.6334817,0.20873049,0.892063,0.91717124,0.26975843,0.623515,3.104624,1.0,2.6942002340784272
1.6310316,0.44843537,0.8745984,0.9801654,0.32118645,0.9392357,2.8568788,2.0,2.6962223885680405
1.6210339,0.3766431,0.9335545,0.71621823,0.22790414,0.9123496,1.1198219,3.0,2.6890841043061835
1.6390717,0.5953624,0.81358725,0.3207017,0.14382258,0.92418367,3.6164138,4.0,2.6975102082587674
1.6292877,0.60084236,0.9316831,0.7172191,0.3651779,0.808807,3.9004843,5.0,2.6890462191148368
1.6326466,0.41140246,0.89833975,0.6595153,0.250411,0.7520102,2.072051,6.0,2.691941243234205
1.6401387,0.30381936,0.8327214,0.72301024,0.16960964,0.791057,2.904477,7.0,2.7027829747890353
